Número,Combinación
1,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte la naturaleza de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
2,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte la naturaleza de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
3,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte la naturaleza de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
4,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte la naturaleza de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
5,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte la naturaleza de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
6,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte la naturaleza de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
7,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte origen de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
8,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte origen de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
9,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte origen de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
10,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte origen de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
11,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte origen de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
12,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte origen de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
13,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte ubicación de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
14,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte ubicación de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
